"provinsi","kota","kecamatan","kelurahan","id_tps","nomor_tps","diterima","rusak","tdk_digunakan","tdk_sah","no1","no2","no3","no4","no5","no6","no7","no8","no9","no10","no11","no12","no13","no14","no15","no16","no17","no18","no19","no20","saksi_pileg"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001007","007","175","0","44","8","4","7","82","8","3","0","1","3","0","2","7","4","0","2","","","","","0","0","niko"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001008","008","196","0","57","5","3","8","78","3","7","0","4","1","3","4","12","5","0","5","","","","","0","1","OVAN O.M"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001009","009","126","0","1","10","2","9","35","8","10","0","1","28","1","6","7","8","0","0","","","","","0","0","GUNAWAN"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001010","010","158","0","20","10","3","14","44","1","1","0","10","14","2","5","2","30","0","2","","","","","0","0","158"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001011","011","170","0","25","16","3","9","85","3","2","0","1","2","1","4","3","14","0","2","","","","","0","0","M. FACHRUROZI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001012","012","136","0","25","10","1","5","46","1","5","0","1","10","2","0","1","25","0","2","","","","","0","2","HEWRNING W"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001013","013","258","31","30","30","9","11","84","8","7","0","5","22","2","9","12","19","0","8","","","","","1","0","THITUT"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001014","014","191","1","49","6","1","9","67","1","3","0","3","12","0","6","21","6","0","4","","","","","1","1","DWI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001015","015","177","1","26","9","4","11","57","8","12","1","3","7","2","5","5","18","1","5","","","","","0","2","DESCI INDRI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001016","016","273","0","48","15","8","12","92","6","12","0","3","10","4","2","0","43","0","3","","","","","0","0","SAKTI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001017","017","207","0","49","8","0","5","97","3","10","2","0","1","0","4","22","6","0","0","","","","","0","0","DENI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001018","018","171","0","20","15","4","2","100","2","3","1","0","1","2","2","17","1","0","1","","","","","0","0","TEGAR ADIGDAYA"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001019","019","163","0","30","5","0","2","99","0","0","1","0","2","1","0","19","3","0","0","","","","","0","0","ABUS"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001020","020","161","0","11","15","6","5","94","5","0","0","0","5","1","2","5","6","0","3","","","","","0","3","YUDI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001021","021","147","1","3","8","4","8","91","6","2","0","1","2","2","5","7","5","0","1","","","","","1","0","EVI WAHYUNI"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001022","022","209","0","25","24","2","7","91","12","4","2","4","10","0","3","8","18","0","4","","","","","0","3","HANDOKO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001023","023","267","2","49","25","7","8","119","6","2","0","6","9","3","9","8","9","0","5","","","","","0","0","WIDIARTO"
"DAERAH ISTIMEWA YOGYAKARTA","KOTA YOGYAKARTA","GEDONGTENGEN","SOSROMENDURAN","3471051001024","024","232","0","24","16","6","5","134","11","3","0","0","8","1","3","4","10","0","7","","","","","0","0","MAHADEWI"
